Protein.IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1K-1	Peptides 1K-2	Peptides 1NM-1	Peptides 1NM-2	Peptides 2K-1	Peptides 2K-2	Peptides 2NM-1	Peptides 2NM-2	Peptides 3K-1	Peptides 3K-2	Peptides 3NM-1	Peptides 3NM-2	Peptides 4K-1	Peptides 4K-2	Peptides 4NM-1	Peptides 4NM-2	Razor + unique peptides 1K-1	Razor + unique peptides 1K-2	Razor + unique peptides 1NM-1	Razor + unique peptides 1NM-2	Razor + unique peptides 2K-1	Razor + unique peptides 2K-2	Razor + unique peptides 2NM-1	Razor + unique peptides 2NM-2	Razor + unique peptides 3K-1	Razor + unique peptides 3K-2	Razor + unique peptides 3NM-1	Razor + unique peptides 3NM-2	Razor + unique peptides 4K-1	Razor + unique peptides 4K-2	Razor + unique peptides 4NM-1	Razor + unique peptides 4NM-2	Unique peptides 1K-1	Unique peptides 1K-2	Unique peptides 1NM-1	Unique peptides 1NM-2	Unique peptides 2K-1	Unique peptides 2K-2	Unique peptides 2NM-1	Unique peptides 2NM-2	Unique peptides 3K-1	Unique peptides 3K-2	Unique peptides 3NM-1	Unique peptides 3NM-2	Unique peptides 4K-1	Unique peptides 4K-2	Unique peptides 4NM-1	Unique peptides 4NM-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1K-1	Identification type 1K-2	Identification type 1NM-1	Identification type 1NM-2	Identification type 2K-1	Identification type 2K-2	Identification type 2NM-1	Identification type 2NM-2	Identification type 3K-1	Identification type 3K-2	Identification type 3NM-1	Identification type 3NM-2	Identification type 4K-1	Identification type 4K-2	Identification type 4NM-1	Identification type 4NM-2	Sequence coverage 1K-1 [%]	Sequence coverage 1K-2 [%]	Sequence coverage 1NM-1 [%]	Sequence coverage 1NM-2 [%]	Sequence coverage 2K-1 [%]	Sequence coverage 2K-2 [%]	Sequence coverage 2NM-1 [%]	Sequence coverage 2NM-2 [%]	Sequence coverage 3K-1 [%]	Sequence coverage 3K-2 [%]	Sequence coverage 3NM-1 [%]	Sequence coverage 3NM-2 [%]	Sequence coverage 4K-1 [%]	Sequence coverage 4K-2 [%]	Sequence coverage 4NM-1 [%]	Sequence coverage 4NM-2 [%]	Intensity	Intensity 1K-1	Intensity 1K-2	Intensity 1NM-1	Intensity 1NM-2	Intensity 2K-1	Intensity 2K-2	Intensity 2NM-1	Intensity 2NM-2	Intensity 3K-1	Intensity 3K-2	Intensity 3NM-1	Intensity 3NM-2	Intensity 4K-1	Intensity 4K-2	Intensity 4NM-1	Intensity 4NM-2	LFQ intensity 1K-1	LFQ intensity 1K-2	LFQ intensity 1NM-1	LFQ intensity 1NM-2	LFQ intensity 2K-1	LFQ intensity 2K-2	LFQ intensity 2NM-1	LFQ intensity 2NM-2	LFQ intensity 3K-1	LFQ intensity 3K-2	LFQ intensity 3NM-1	LFQ intensity 3NM-2	LFQ intensity 4K-1	LFQ intensity 4K-2	LFQ intensity 4NM-1	LFQ intensity 4NM-2	MS/MS Count 1K-1	MS/MS Count 1K-2	MS/MS Count 1NM-1	MS/MS Count 1NM-2	MS/MS Count 2K-1	MS/MS Count 2K-2	MS/MS Count 2NM-1	MS/MS Count 2NM-2	MS/MS Count 3K-1	MS/MS Count 3K-2	MS/MS Count 3NM-1	MS/MS Count 3NM-2	MS/MS Count 4K-1	MS/MS Count 4K-2	MS/MS Count 4NM-1	MS/MS Count 4NM-2	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q5U378|TBCE_DANRE	sp|Q5U378|TBCE_DANRE	2	2	2		1	2	2	2	0	1	1	1	1	1	2	1	2	2	1	1	2	2	2	2	0	1	1	1	1	1	2	1	2	2	1	1	2	2	2	2	0	1	1	1	1	1	2	1	2	2	1	1	2	2	2	2	6.1	6.1	6.1	59.042	521	521	0.0069565	3.1823	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0	3.5	2.7	2.7	3.5	3.5	6.1	3.5	6.1	6.1	3.5	3.5	6.1	6.1	6.1	6.1	3347500	0	94690	143340	130370	147800	314180	216340	75312	414740	421240	174100	174730	288040	285660	271870	195110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180660	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2				263	1777;2227	True;True	1802;2261	24000;24001;24002;24003;24004;24005;24006;24007;24008;24009;24010;24011;24012;29544;29545;29546;29547;29548;29549;29550;29551;29552	18885;18886;22723	18886;22723		
sp|Q5U3A7|OPA1_DANRE	sp|Q5U3A7|OPA1_DANRE	23	23	23		1	23	23	23	13	12	17	18	18	17	17	15	16	16	15	15	18	15	16	16	13	12	17	18	18	17	17	15	16	16	15	15	18	15	16	16	13	12	17	18	18	17	17	15	16	16	15	15	18	15	16	16	34.7	34.7	34.7	111.33	966	966	0	236.87	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.4	17.4	26.2	31	27	25.7	26.2	23.5	22.8	22.8	22.9	25.4	26.5	21.2	26.1	27	112260000	3574300	3473100	6877100	8573300	7757600	7747600	9407400	7037600	6505900	7868000	5892800	6482300	9217100	7599200	6470000	7773700	5499700	5991300	6011200	7551500	7335600	7345200	8835400	7775800	6875600	6687300	6105400	6372300	7344900	6537400	6155600	6520200	9	5	9	8	11	11	6	8	8	7	11	11	13	13	9	3	142				264	132;145;254;498;523;649;675;676;967;986;1569;1606;1935;1970;2003;2046;2331;2334;2355;2568;2662;2859;3009	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	133;146;258;510;535;663;689;690;983;1002;1592;1630;1964;2000;2035;2079;2366;2369;2390;2606;2703;2903;3055	1747;1748;1749;1750;1751;1752;1753;1754;1755;1756;1757;1758;1759;1760;1761;1762;1763;1764;1765;1766;1767;1768;1769;1770;1771;1772;1773;1774;1775;1776;1777;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;3368;3369;3370;3371;3372;3373;3374;3375;6472;6473;6474;6475;6476;6477;6478;6479;6480;6481;6482;6483;6484;6485;6486;6487;6488;6489;6490;6491;6492;6493;6494;6495;6496;6790;6791;6792;6793;6794;6795;6796;6797;6798;6799;6800;6801;6802;6803;6804;8518;8519;8886;8887;8888;8889;8890;8891;8892;8893;8894;8895;8896;8897;8898;8899;8900;8901;12922;12923;12924;12925;12926;12927;12928;12929;12930;12931;12932;12933;12934;12935;12936;12937;13181;13182;13183;13184;21324;21325;21326;21327;21328;21329;21330;21331;21332;21333;21334;21335;21336;21337;21338;21339;21340;21341;21342;21343;21344;21345;21346;21347;21348;21349;21350;21351;21352;21353;21354;21355;21356;21871;21872;21873;21874;21875;21876;21877;25902;25903;25904;25905;25906;25907;25908;25909;25910;25911;25912;25913;25914;25915;25916;26390;26391;26392;26393;26394;26395;26396;26397;26398;26399;26400;26401;26402;26403;26404;26405;26406;26407;26408;26409;26410;26411;26412;26413;26414;26854;26855;26856;26857;26858;26859;26860;26861;26862;26863;26864;26865;27423;27424;27425;27426;30809;30810;30811;30812;30813;30814;30815;30816;30817;30818;30819;30820;30821;30845;30846;30847;30848;30849;30850;30851;30852;30853;30854;30855;30856;30857;30858;30859;30860;30861;30862;30863;30864;30865;31145;31146;31147;31148;31149;31150;34031;34032;34033;34034;34035;34036;34037;34038;34039;34040;34041;34042;34043;34044;34045;35274;35275;35276;35277;35278;35279;35280;35281;35282;35283;35284;35285;35286;35287;35288;35289;37900;37901;37902;37903;37904;40842;40843;40844;40845;40846;40847;40848;40849;40850;40851	1328;1329;1330;1331;1332;1333;1334;1335;1336;1337;1338;1339;1340;1341;1342;1343;1344;1345;1346;1347;1348;1424;1425;2615;2616;2617;4995;4996;4997;4998;4999;5000;5001;5002;5003;5004;5005;5006;5007;5216;5217;5218;5219;5220;5221;5222;5223;5224;5225;5226;6589;6590;6822;6823;6824;6825;6826;10599;10600;10601;10602;10603;10604;10605;10606;10607;10608;10609;10610;10611;10612;10613;10750;16925;16926;16927;16928;16929;16930;16931;17347;20097;20098;20099;20100;20101;20102;20458;20459;20460;20461;20462;20463;20464;20465;20466;20467;20468;20469;20470;20471;20472;20473;20474;20475;20476;20477;20478;20479;20480;20481;20746;21148;21149;21150;23641;23642;23643;23644;23645;23646;23647;23648;23649;23653;23654;23655;23656;23657;23658;23659;23660;23879;23880;23881;26087;26088;26089;26090;26091;26092;26093;26094;26095;26096;26097;27199;27200;27201;27202;27203;27204;27205;27206;27207;27208;27209;27210;29033;29034;32578	1347;1425;2617;4996;5218;6589;6823;6824;10600;10750;16930;17347;20098;20470;20746;21149;23645;23659;23880;26094;27205;29034;32578		
sp|Q5U3F8|3HAO_DANRE	sp|Q5U3F8|3HAO_DANRE	2	2	2		1	2	2	2	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	8.7	8.7	8.7	33.239	287	287	0.0053286	3.2817	By matching	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	0	3.5	5.2	5.2	0	0	5.2	5.2	0	0	0	0	0	0	5.2	5.2	401450	0	0	87223	84671	0	0	72495	62371	0	0	0	0	0	0	48429	46258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42832	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2				265	512;2389	True;True	524;2424	6630;31506;31507;31508;31509;31510;31511	5086;24161;24162	5086;24162		
sp|Q5U3I0|SAM5B_DANRE	sp|Q5U3I0|SAM5B_DANRE	7	7	5		1	7	7	5	3	4	5	5	7	7	4	5	5	6	5	6	5	5	4	4	3	4	5	5	7	7	4	5	5	6	5	6	5	5	4	4	2	2	3	3	5	5	2	3	3	4	3	4	4	3	2	2	21.7	21.7	17.1	52.184	469	469	0	40.642	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	7	14.7	14.7	14.7	21.7	21.7	14.7	14.7	11.7	17.3	14.7	19.2	17.1	15.8	14.7	14.7	37141000	1190200	1833000	1907700	2060100	3354500	3179100	1623000	2204000	2820500	2317400	2776100	2967400	1912200	1995700	2449000	2550800	1977700	2136700	2351100	2250700	2865800	2211300	2330400	2822300	2602000	1709200	2407900	2334000	2817900	2095100	2261400	2423500	2	0	3	2	2	3	2	1	3	2	3	2	3	3	2	0	33				266	437;833;1117;1262;1813;2119;2271	True;True;True;True;True;True;True	448;848;1135;1281;1838;2153;2305	5753;5754;5755;5756;5757;5758;5759;5760;5761;5762;5763;5764;5765;5766;11049;11050;11051;11052;11053;11054;11055;11056;11057;11058;11059;11060;11061;11062;15043;15044;15045;15046;15047;15048;15049;15050;15051;15052;15053;15054;15055;15056;15057;15058;17091;17092;17093;17094;17095;17096;17097;17098;17099;17100;17101;17102;17103;17104;24464;24465;24466;24467;28343;28344;28345;28346;28347;28348;28349;28350;28351;28352;28353;28354;28355;28356;28357;28358;28359;28360;28361;28362;28363;28364;28365;28366;30049;30050;30051;30052;30053	4401;4402;4403;4404;4405;4406;9122;12236;12237;12238;12239;12240;12241;12242;12243;12244;12245;12246;12247;13728;13729;13730;13731;13732;19132;21839;21840;21841;21842;21843;21844;21845;23075;23076;23077;23078	4405;9122;12245;13730;19132;21842;23077		
sp|Q5U3I2|S7A6O_DANRE	sp|Q5U3I2|S7A6O_DANRE	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	6.7	6.7	6.7	37.039	326	326	0.006689	2.8731	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	0	0	2036700	147940	106360	222240	187030	143760	139820	142450	166270	130260	116440	148560	141090	135080	109410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117770	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2				267	1288	TRUE	1307	17450;17451;17452;17453;17454;17455;17456;17457;17458;17459;17460;17461;17462;17463	13981;13982;13983;13984	13983		
sp|Q5U3U0|PHYD1_DANRE	sp|Q5U3U0|PHYD1_DANRE	2	2	2		1	2	2	2	0	0	0	1	1	1	0	0	2	1	1	0	2	2	0	0	0	0	0	1	1	1	0	0	2	1	1	0	2	2	0	0	0	0	0	1	1	1	0	0	2	1	1	0	2	2	0	0	10.7	10.7	10.7	33.193	291	291	0.0054152	3.3613	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	0	0	0	4.8	4.8	4.8	0	0	10.7	5.8	4.8	0	10.7	10.7	0	0	1046800	0	0	0	111780	67631	81742	0	0	179490	92062	60619	0	182470	270950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291660	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2				268	1387;2555	True;True	1408;2593	18976;18977;18978;18979;33853;33854;33855;33856;33857;33858;33859	15289;15290;25985	15289;25985		
sp|Q5U3U3|CPT2_DANRE	sp|Q5U3U3|CPT2_DANRE	9	9	9		1	9	9	9	7	6	6	6	8	9	6	5	7	6	8	7	8	6	7	6	7	6	6	6	8	9	6	5	7	6	8	7	8	6	7	6	7	6	6	6	8	9	6	5	7	6	8	7	8	6	7	6	23.5	23.5	23.5	74.916	669	669	0	157.39	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.4	19.4	16.1	17.3	21.7	23.5	18.4	13.3	17.3	15.5	22.4	18.4	21.7	17.3	19.4	16.1	43202000	2537700	2316400	2564300	2749400	2665100	2745900	3098200	2060800	3044800	2759400	2553600	2975100	3367500	2967500	2190000	2606500	2083400	2927000	3091300	2071800	2357000	2472100	3231100	2655100	2668800	2543500	2366500	2623700	3110400	3033500	2680700	3152100	1	2	3	2	6	7	6	5	8	7	10	7	8	8	5	2	87				269	79;96;314;419;792;2151;2346;3008;3015	True;True;True;True;True;True;True;True;True	80;97;319;429;807;2185;2381;3054;3061	1042;1043;1044;1045;1046;1047;1048;1049;1050;1051;1052;1053;1054;1055;1056;1057;1058;1059;1060;1061;1062;1063;1064;1065;1066;1067;1304;1305;1306;1307;1308;1309;1310;1311;1312;1313;4198;4199;4200;4201;4202;4203;4204;4205;4206;4207;4208;4209;4210;4211;4212;4213;5551;5552;5553;5554;5555;5556;5557;5558;5559;5560;5561;5562;5563;5564;5565;10423;10424;10425;10426;10427;10428;10429;10430;10431;10432;10433;10434;28767;28768;28769;31023;31024;31025;31026;31027;31028;31029;31030;31031;31032;31033;31034;31035;31036;31037;31038;31039;31040;31041;31042;31043;31044;31045;31046;31047;31048;31049;31050;40834;40835;40836;40837;40838;40839;40840;40841;40911;40912;40913;40914;40915;40916;40917;40918;40919;40920;40921;40922;40923	733;734;735;736;737;738;739;740;741;742;743;744;745;746;747;748;943;944;945;946;947;948;949;950;951;952;953;954;955;3256;3257;3258;3259;3260;3261;3262;3263;3264;3265;3266;3267;3268;4251;4252;4253;4254;4255;4256;4257;4258;4259;4260;4261;4262;4263;4264;4265;4266;8032;8033;8034;22174;22175;22176;23767;23768;23769;23770;23771;23772;23773;23774;23775;23776;23777;23778;23779;23780;23781;23782;23783;23784;23785;23786;23787;23788;23789;23790;23791;23792;23793;23794;23795;23796;23797;23798;32577;32593;32594	741;953;3267;4260;8033;22174;23798;32577;32594		
sp|Q5W8I7|VGL2B_DANRE;sp|Q1L8X9|VGLU3_DANRE	sp|Q5W8I7|VGL2B_DANRE	10;2	10;2	8;1		2	10	10	8	8	8	8	7	8	7	7	7	8	9	7	8	9	7	10	6	8	8	8	7	8	7	7	7	8	9	7	8	9	7	10	6	6	6	6	6	6	7	6	6	7	7	6	6	7	6	8	5	19.8	19.8	15.2	64.46	587	587;590	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.2	17.2	15.7	14.5	15.7	12.8	14.5	14.5	16.2	17.4	16	17.2	17.4	13.8	19.8	14.3	132910000	5865600	6200200	7947400	8254100	11360000	8380000	8109500	7907200	9671900	11362000	6470700	7319300	8928700	7208700	7933400	9986900	4878200	5212600	6799000	7079700	10612000	10398000	6913500	8761900	10415000	10186000	8432300	7585700	8658000	9186600	9254800	9346600	7	7	9	8	9	8	9	8	10	11	7	7	9	3	9	5	126				270	1241;2021;2177;2460;2478;2479;2613;2614;2714;2932	True;True;True;True;True;True;True;True;True;True	1260;2053;2211;2495;2513;2514;2652;2653;2755;2977	16809;16810;16811;16812;16813;16814;16815;16816;16817;16818;16819;16820;16821;16822;16823;16824;16825;16826;16827;16828;16829;16830;16831;16832;27088;27089;27090;27091;27092;27093;27094;27095;27096;27097;27098;27099;27100;27101;27102;27103;29010;29011;29012;29013;29014;29015;29016;29017;29018;29019;29020;29021;29022;29023;29024;29025;32474;32475;32476;32477;32478;32479;32480;32481;32482;32483;32484;32485;32486;32487;32488;32489;32774;32775;32776;32777;32778;32779;32780;32781;32782;32783;32784;32785;32786;32787;32788;32789;32790;32791;32792;32793;32794;32795;32796;32797;32798;32799;32800;32801;32802;32803;32804;32805;32806;32807;32808;32809;32810;32811;32812;34639;34640;34641;34642;34643;34644;34645;34646;34647;34648;34649;34650;34651;34652;34653;34654;34655;36006;36007;36008;36009;36010;36011;36012;36013;36014;36015;39861;39862;39863;39864;39865;39866;39867;39868;39869	13492;13493;13494;13495;13496;13497;13498;13499;13500;13501;13502;13503;13504;13505;13506;13507;13508;13509;13510;13511;13512;13513;20904;20905;20906;20907;20908;20909;20910;20911;20912;20913;22370;22371;22372;22373;22374;22375;22376;22377;22378;22379;22380;22381;22382;22383;22384;22385;22386;22387;22388;22389;22390;22391;22392;24998;24999;25000;25001;25002;25003;25004;25005;25006;25007;25008;25009;25010;25011;25012;25013;25014;25015;25016;25243;25244;25245;25246;25247;25248;25249;25250;25251;25252;25253;25254;25255;25256;25257;25258;25259;26608;26609;26610;26611;26612;26613;26614;26615;26616;26617;26618;26619;26620;26621;26622;26623;26624;26625;26626;26627;26628;26629;26630;26631;26632;26633;26634;26635;26636;26637;27746;27747;27748;27749;27750;27751;31819;31820;31821	13507;20913;22388;25008;25245;25255;26608;26626;27748;31821		
sp|Q5W8I8|VGL2A_DANRE	sp|Q5W8I8|VGL2A_DANRE	9	7	7		1	9	7	7	7	7	7	6	7	3	7	7	4	7	5	7	7	5	4	6	5	5	5	5	5	3	6	6	3	5	4	5	5	4	2	5	5	5	5	5	5	3	6	6	3	5	4	5	5	4	2	5	23.3	18.7	18.7	64.121	584	584	0	151.36	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.5	20	19	15.1	16.8	7.4	17.3	20.4	10.6	16.4	16.1	18.8	16.8	11.1	10.3	15.8	43690000	2233100	2650300	1476600	2135600	3822200	2475900	2446500	4540800	3087200	2348500	2553000	2279900	2599300	2675800	2818500	3546400	2895700	2253100	5044600	3594100	2132900	2362200	3317700	3402900	2555800	1741000	2505600	2441300	1997900	1959700	3178100	2781900	4	5	4	4	2	3	1	5	2	4	4	4	2	2	1	3	50				271	267;287;496;896;1241;2020;2145;2178;2932	True;True;True;True;False;True;True;True;False	271;292;508;911;1260;2052;2179;2212;2977	3551;3552;3553;3554;3555;3556;3850;3851;3852;3853;3854;3855;3856;3857;3858;3859;3860;3861;6428;6429;6430;6431;6432;6433;6434;6435;6436;6437;6438;6439;11847;11848;11849;11850;11851;11852;16809;16810;16811;16812;16813;16814;16815;16816;16817;16818;16819;16820;16821;16822;16823;16824;16825;16826;16827;16828;16829;16830;16831;16832;27076;27077;27078;27079;27080;27081;27082;27083;27084;27085;27086;27087;28698;28699;28700;28701;28702;28703;28704;28705;28706;28707;28708;28709;28710;28711;28712;28713;28714;28715;28716;28717;28718;28719;28720;29026;29027;29028;29029;29030;29031;29032;29033;29034;39861;39862;39863;39864;39865;39866;39867;39868;39869	2741;2999;3000;3001;3002;3003;3004;3005;4971;4972;4973;4974;4975;4976;4977;4978;4979;4980;4981;4982;4983;9709;13492;13493;13494;13495;13496;13497;13498;13499;13500;13501;13502;13503;13504;13505;13506;13507;13508;13509;13510;13511;13512;13513;20903;22135;22136;22137;22138;22139;22140;22141;22142;22143;22144;22145;22146;22147;22148;22149;22150;22151;22152;22153;22154;22155;22156;22157;22158;22159;22160;22393;22394;22395;22396;22397;31819;31820;31821	2741;2999;4971;9709;13507;20903;22152;22396;31821		
sp|Q5XIY6|VTC1B_DANRE	sp|Q5XIY6|VTC1B_DANRE	11	9	9		1	11	9	9	8	8	7	8	10	9	8	9	8	9	9	9	7	7	10	9	6	6	5	6	8	7	6	7	6	7	7	8	6	6	8	8	6	6	5	6	8	7	6	7	6	7	7	8	6	6	8	8	42	33.6	33.6	43.942	381	381	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.6	33.3	24.9	27.6	37.3	33.9	27.6	30.2	25.5	33.9	30.2	34.4	27	21.3	38.6	34.4	52035000	1982200	2589700	1811300	1686200	3636800	4885800	1982900	1793700	6495900	6164400	2799500	3217400	3376600	4047900	2570100	2994200	1987600	4007600	2735000	1574500	3643200	4705000	2466400	1852200	5416900	5691300	2569100	2744700	3745500	4252800	2185300	2424700	3	4	5	3	7	6	7	5	8	10	6	6	7	7	5	5	94				272	305;335;1060;1110;1141;1486;1951;2215;2706;2829;2996	True;True;True;True;True;True;True;True;False;True;False	310;340;1076;1128;1160;1509;1981;2249;2747;2872;3042	4078;4079;4080;4081;4082;4083;4084;4085;4086;4087;4459;4460;4461;4462;4463;4464;4465;4466;4467;4468;4469;4470;4471;4472;4473;14068;14069;14070;14071;14072;14073;14074;14075;14905;15471;15472;15473;15474;15475;15476;15477;15478;15479;15480;15481;15482;15483;15484;15485;15486;15487;15488;20227;20228;20229;20230;20231;20232;20233;20234;20235;20236;20237;20238;20239;20240;20241;26154;26155;26156;26157;26158;26159;26160;26161;26162;26163;26164;26165;26166;26167;26168;26169;29447;29448;29449;29450;29451;29452;29453;29454;29455;29456;29457;35871;35872;35873;35874;35875;35876;35877;35878;35879;35880;35881;35882;35883;35884;35885;35886;35887;35888;35889;35890;37476;37477;37478;37479;37480;37481;37482;37483;37484;37485;37486;37487;37488;37489;37490;37491;37492;37493;37494;37495;37496;37497;37498;37499;37500;37501;37502;37503;37504;37505;40731;40732;40733;40734;40735;40736;40737;40738;40739;40740;40741;40742;40743;40744	3150;3151;3152;3153;3154;3415;3416;3417;3418;3419;3420;3421;3422;3423;3424;3425;11460;11461;11462;11463;11464;12117;12580;12581;12582;12583;12584;12585;12586;12587;12588;12589;12590;16050;16051;16052;16053;20277;20278;20279;20280;20281;20282;20283;20284;20285;20286;20287;20288;20289;20290;20291;20292;20293;20294;20295;20296;20297;20298;20299;20300;20301;20302;20303;20304;20305;20306;22702;27627;27628;27629;27630;27631;27632;27633;27634;27635;27636;27637;27638;27639;27640;27641;27642;27643;27644;27645;27646;27647;27648;27649;27650;27651;27652;27653;27654;27655;27656;27657;27658;27659;27660;27661;27662;27663;27664;27665;27666;28690;28691;28692;28693;28694;28695;28696;28697;28698;28699;28700;28701;28702;28703;28704;28705;28706;28707;28708;28709;28710;28711;28712;28713;28714;28715;28716;28717;28718;28719;28720;28721;32533;32534;32535;32536;32537;32538;32539	3153;3416;11463;12117;12583;16050;20287;22702;27665;28708;32535		
sp|Q5XIZ6|GPD1L_DANRE	sp|Q5XIZ6|GPD1L_DANRE	10	10	10		1	10	10	10	8	8	7	6	8	9	6	6	9	9	6	7	8	7	8	5	8	8	7	6	8	9	6	6	9	9	6	7	8	7	8	5	8	8	7	6	8	9	6	6	9	9	6	7	8	7	8	5	45.6	45.6	45.6	38.284	351	351	0	94.815	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.2	31.6	29.6	25.4	32.2	37	25.4	23.9	39.9	37	25.4	27.9	31.3	28.2	32.8	20.8	52560000	3079500	2864400	4109500	3115400	1938100	4135400	3592700	3536500	4560000	4110100	2903900	3338100	2401600	2481100	3783500	2610100	3180300	1592500	3950900	3840500	2835900	3155200	3943900	3973800	3482000	3181400	3839500	3221600	3175500	2734100	3786500	3174600	7	2	6	4	4	2	7	5	7	4	4	4	4	3	5	2	70				273	289;1325;1532;1557;1725;1773;2024;2314;2645;2758	True;True;True;True;True;True;True;True;True;True	294;1344;1555;1580;1750;1798;2056;2349;2686;2800	3878;3879;3880;3881;3882;3883;3884;3885;3886;3887;3888;3889;3890;3891;3892;3893;3894;3895;3896;3897;17905;17906;17907;17908;17909;17910;17911;20750;21147;21148;21149;21150;21151;21152;21153;21154;21155;21156;21157;21158;21159;21160;23378;23379;23380;23381;23382;23383;23384;23385;23386;23387;23388;23389;23390;23391;23392;23393;23944;23945;23946;23947;23948;23949;23950;23951;23952;23953;23954;23955;23956;23957;23958;23959;23960;23961;23962;23963;23964;23965;23966;23967;23968;23969;23970;23971;23972;27122;27123;27124;27125;27126;27127;27128;27129;27130;27131;27132;30530;30531;30532;30533;30534;30535;30536;30537;30538;30539;30540;30541;30542;30543;30544;30545;30546;30547;30548;30549;30550;30551;30552;35102;35103;35104;35105;35106;35107;35108;35109;35110;35111;35112;36618;36619;36620;36621;36622;36623;36624;36625;36626;36627	3010;3011;3012;3013;3014;3015;3016;3017;3018;3019;3020;3021;3022;3023;3024;3025;3026;3027;3028;3029;3030;14393;14394;16341;16786;16787;16788;16789;16790;18461;18462;18463;18464;18465;18466;18467;18468;18469;18470;18471;18472;18473;18474;18852;18853;18854;18855;18856;18857;18858;18859;18860;18861;18862;18863;18864;18865;18866;18867;18868;18869;18870;18871;18872;18873;18874;18875;20918;20919;23416;23417;23418;23419;23420;27097;27098;27099;28142	3019;14394;16341;16788;18472;18855;20918;23419;27098;28142		
